,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
183,2013-09-04,9,0,21,0,211630,0,211630,0,231159182,0,231159182,0,1092.2798374521572,1092.2798374521572,,,0.0
184,2013-09-03,13,1,13,0,113348,166591,279939,0,130172066,191579612,321751678,0,1148.4284327910507,1149.363532769639,1149.999771896441,,-166591.0
185,2013-09-01,18,1,31,0,355535,109618,465153,0,423935552,131673720,555609272,0,1192.3876749124559,1194.4656317383742,1201.2052765056833,,-109618.0
186,2013-08-31,3,0,1,0,14200,0,14200,0,17182000,0,17182000,0,1210.0,1210.0,,,0.0
187,2013-08-28,3,0,2,0,11501,0,11501,0,15123815,0,15123815,0,1315.0,1315.0,,,0.0
188,2013-08-27,9,0,17,0,152646,0,152646,0,218133444,0,218133444,0,1429.015133052946,1429.015133052946,,,0.0
189,2013-08-26,7,0,1,0,4502,0,4502,0,6991606,0,6991606,0,1553.0,1553.0,,,0.0
190,2013-08-25,16,0,16,0,116690,0,116690,0,196987397,0,196987397,0,1688.1257777016026,1688.1257777016026,,,0.0
191,2013-08-24,28,0,27,0,231634,0,231634,0,413773184,0,413773184,0,1786.3231822616715,1786.3231822616715,,,0.0
192,2013-08-21,52,0,32,1,492104,0,427825,64279,873877947,0,757918631,115959316,1775.7993168110806,1771.5622766318004,,1804.0,64279.0
193,2013-08-20,25,0,25,1,372671,0,272671,100000,622571684,0,455371684,167200000,1670.5664889406473,1670.040759743427,,1672.0,100000.0
194,2013-08-19,27,0,14,1,622476,0,70031,552445,964215324,0,108478019,855737305,1549.0,1549.0,,1549.0,552445.0
195,2013-08-18,4,0,11,0,39329,0,39329,0,56437115,0,56437115,0,1435.0,1435.0,,,0.0
196,2013-08-17,2,0,8,0,31360,0,31360,0,41677440,0,41677440,0,1329.0,1329.0,,,0.0
197,2013-08-14,9,0,18,0,150416,0,150416,0,185176741,0,185176741,0,1231.0973633124136,1231.0973633124136,,,0.0
198,2013-08-13,6,0,8,0,30160,0,30160,0,35748638,0,35748638,0,1185.2996684350132,1185.2996684350132,,,0.0
199,2013-08-12,7,0,10,1,24892,0,18492,6400,28905986,0,21521586,7384400,1161.25606620601,1163.8322517845554,,1153.8125,6400.0
200,2013-08-11,2,0,2,0,1460,0,1460,0,1813840,0,1813840,0,1242.3561643835617,1242.3561643835617,,,0.0
201,2013-08-07,6,0,4,0,14250,0,14250,0,17572980,0,17572980,0,1233.1915789473685,1233.1915789473685,,,0.0
202,2013-08-06,8,0,12,0,44481,0,44481,0,52845926,0,52845926,0,1188.0561588093792,1188.0561588093792,,,0.0
203,2013-08-05,8,0,8,0,83635,0,83635,0,96447658,0,96447658,0,1153.1973216954625,1153.1973216954625,,,0.0
204,2013-08-04,8,0,20,0,117677,0,117677,0,144212878,0,144212878,0,1225.4975738674507,1225.4975738674507,,,0.0
205,2013-08-03,4,0,3,0,12100,0,12100,0,16105100,0,16105100,0,1331.0,1331.0,,,0.0
206,2013-07-31,1,0,1,0,100,0,100,0,144600,0,144600,0,1446.0,1446.0,,,0.0
207,2013-07-29,4,0,33,0,145185,0,145185,0,228085635,0,228085635,0,1571.0,1571.0,,,0.0
208,2013-07-28,17,0,18,0,123687,0,123687,0,211134032,0,211134032,0,1707.0026114304655,1707.0026114304655,,,0.0
209,2013-07-27,1,0,5,0,11332,0,11332,0,19661020,0,19661020,0,1735.0,1735.0,,,0.0
210,2013-07-24,21,0,8,0,84441,0,84441,0,135696687,0,135696687,0,1607.0,1607.0,,,0.0
211,2013-07-23,11,0,6,0,80707,0,80707,0,120067215,0,120067215,0,1487.6927032351593,1487.6927032351593,,,0.0
212,2013-07-22,17,0,11,1,146628,0,91729,54899,203185110,0,127095096,76090014,1385.7183484736886,1385.5497825115285,,1386.0,54899.0
213,2013-07-21,18,0,4,0,106680,0,106680,0,136977120,0,136977120,0,1284.0,1284.0,,,0.0
214,2013-07-20,1,0,2,0,253,0,253,0,300817,0,300817,0,1189.0,1189.0,,,0.0
215,2013-07-17,3,0,0,1,100000,0,0,100000,110100000,0,0,110100000,1101.0,,,1101.0,100000.0
